Files already downloaded and verified
Files already downloaded and verified
Epoch: 0, Iteration:     0 loss: 0.115
Epoch: 0, Iteration:    20 loss: 2.303
Epoch: 0, Iteration:    40 loss: 2.302
Epoch: 0, Iteration:    60 loss: 2.302
Epoch: 0, Iteration:    80 loss: 2.301
Epoch: 0, Iteration:   100 loss: 2.301
Epoch: 0, Iteration:   120 loss: 2.300
Epoch: 0, Iteration:   140 loss: 2.298
Epoch: 0, Iteration:   160 loss: 2.290
Epoch: 0, Iteration:   180 loss: 2.263
Epoch: 0, Iteration:   200 loss: 2.177
Epoch: 0, Iteration:   220 loss: 2.158
Epoch: 0, Iteration:   240 loss: 2.173
Epoch: 0, Iteration:   260 loss: 2.147
Epoch: 0, Iteration:   280 loss: 2.099
Epoch: 0, Iteration:   300 loss: 2.102
Epoch: 0, Iteration:   320 loss: 2.174
Epoch: 0, Iteration:   340 loss: 2.217
Epoch: 0, Iteration:   360 loss: 2.149
Epoch: 0, Iteration:   380 loss: 2.102
Epoch: 0, Iteration:   400 loss: 2.096
Epoch: 0, Iteration:   420 loss: 2.212
Epoch: 0, Iteration:   440 loss: 2.194
Epoch: 0, Iteration:   460 loss: 2.116
Epoch: 0, Iteration:   480 loss: 2.128
Epoch: 0, Iteration:   500 loss: 2.103
Epoch: 0, Iteration:   520 loss: 2.151
Epoch: 0, Iteration:   540 loss: 2.161
Epoch: 0, Iteration:   560 loss: 2.059
Epoch: 0, Iteration:   580 loss: 2.080
Epoch: 0, Iteration:   600 loss: 2.178
Epoch: 0, Iteration:   620 loss: 2.140
Epoch: 0, Iteration:   640 loss: 2.012
Epoch: 0, Iteration:   660 loss: 2.040
Epoch: 0, Iteration:   680 loss: 1.978
Epoch: 0, Iteration:   700 loss: 2.053
Epoch: 0, Iteration:   720 loss: 2.068
Epoch: 0, Iteration:   740 loss: 2.082
Epoch: 0, Iteration:   760 loss: 2.138
Epoch: 0, Iteration:   780 loss: 1.964
Loss: 2.256
Accuracy of the network on the 10000 test images: 22 %
Accuracy of plane : 37 %
Accuracy of   car :  0 %
Accuracy of  bird : 24 %
Accuracy of   cat :  0 %
Accuracy of  deer :  0 %
Accuracy of   dog : 79 %
Accuracy of  frog :  0 %
Accuracy of horse : 31 %
Accuracy of  ship : 41 %
Accuracy of truck : 16 %
Epoch: 1, Iteration:     0 loss: 0.113
Epoch: 1, Iteration:    20 loss: 1.982
Epoch: 1, Iteration:    40 loss: 1.984
Epoch: 1, Iteration:    60 loss: 2.033
Epoch: 1, Iteration:    80 loss: 2.000
Epoch: 1, Iteration:   100 loss: 1.986
Epoch: 1, Iteration:   120 loss: 1.988
Epoch: 1, Iteration:   140 loss: 2.003
Epoch: 1, Iteration:   160 loss: 1.976
Epoch: 1, Iteration:   180 loss: 1.894
Epoch: 1, Iteration:   200 loss: 1.952
Epoch: 1, Iteration:   220 loss: 1.953
Epoch: 1, Iteration:   240 loss: 1.972
Epoch: 1, Iteration:   260 loss: 1.927
Epoch: 1, Iteration:   280 loss: 1.937
Epoch: 1, Iteration:   300 loss: 1.919
