Files already downloaded and verified
Files already downloaded and verified
Epoch: 0, Iteration:     0 loss: 0.115
Epoch: 0, Iteration:    20 loss: 2.304
Epoch: 0, Iteration:    40 loss: 2.304
Epoch: 0, Iteration:    60 loss: 2.304
Epoch: 0, Iteration:    80 loss: 2.302
Epoch: 0, Iteration:   100 loss: 2.300
Epoch: 0, Iteration:   120 loss: 2.297
Epoch: 0, Iteration:   140 loss: 2.296
Epoch: 0, Iteration:   160 loss: 2.284
Epoch: 0, Iteration:   180 loss: 2.255
Epoch: 0, Iteration:   200 loss: 2.146
Epoch: 0, Iteration:   220 loss: 2.134
Epoch: 0, Iteration:   240 loss: 2.136
Epoch: 0, Iteration:   260 loss: 2.114
Epoch: 0, Iteration:   280 loss: 2.096
Epoch: 0, Iteration:   300 loss: 2.130
Epoch: 0, Iteration:   320 loss: 2.167
Epoch: 0, Iteration:   340 loss: 2.201
Epoch: 0, Iteration:   360 loss: 2.111
Epoch: 0, Iteration:   380 loss: 2.092
Epoch: 0, Iteration:   400 loss: 2.054
Epoch: 0, Iteration:   420 loss: 2.211
Epoch: 0, Iteration:   440 loss: 2.192
Epoch: 0, Iteration:   460 loss: 2.125
Epoch: 0, Iteration:   480 loss: 2.062
Epoch: 0, Iteration:   500 loss: 2.128
Epoch: 0, Iteration:   520 loss: 2.152
Epoch: 0, Iteration:   540 loss: 2.170
Epoch: 0, Iteration:   560 loss: 2.132
Epoch: 0, Iteration:   580 loss: 2.122
Epoch: 0, Iteration:   600 loss: 2.147
Epoch: 0, Iteration:   620 loss: 2.142
Epoch: 0, Iteration:   640 loss: 2.000
Epoch: 0, Iteration:   660 loss: 2.050
Epoch: 0, Iteration:   680 loss: 1.988
Epoch: 0, Iteration:   700 loss: 2.025
Epoch: 0, Iteration:   720 loss: 2.076
Epoch: 0, Iteration:   740 loss: 2.122
Epoch: 0, Iteration:   760 loss: 2.139
Epoch: 0, Iteration:   780 loss: 1.990
Loss: 1.935
Accuracy of the network on the 10000 test images: 24 %
Accuracy of plane : 67 %
Accuracy of   car :  0 %
Accuracy of  bird :  0 %
Accuracy of   cat :  0 %
Accuracy of  deer : 20 %
Accuracy of   dog : 61 %
Accuracy of  frog : 32 %
Accuracy of horse : 32 %
Accuracy of  ship : 32 %
Accuracy of truck : 16 %
Epoch: 1, Iteration:     0 loss: 0.094
Epoch: 1, Iteration:    20 loss: 2.025
Epoch: 1, Iteration:    40 loss: 1.955
Epoch: 1, Iteration:    60 loss: 2.046
Epoch: 1, Iteration:    80 loss: 1.964
Epoch: 1, Iteration:   100 loss: 1.985
Epoch: 1, Iteration:   120 loss: 2.057
Epoch: 1, Iteration:   140 loss: 1.997
Epoch: 1, Iteration:   160 loss: 1.959
Epoch: 1, Iteration:   180 loss: 1.914
Epoch: 1, Iteration:   200 loss: 1.912
Epoch: 1, Iteration:   220 loss: 1.967
Epoch: 1, Iteration:   240 loss: 1.995
Epoch: 1, Iteration:   260 loss: 1.942
Epoch: 1, Iteration:   280 loss: 1.981
Epoch: 1, Iteration:   300 loss: 1.955
Epoch: 1, Iteration:   320 loss: 1.899
Epoch: 1, Iteration:   340 loss: 1.879
Epoch: 1, Iteration:   360 loss: 1.880
Epoch: 1, Iteration:   380 loss: 1.912
Epoch: 1, Iteration:   400 loss: 1.908
Epoch: 1, Iteration:   420 loss: 1.866
Epoch: 1, Iteration:   440 loss: 1.970
Epoch: 1, Iteration:   460 loss: 1.904
Epoch: 1, Iteration:   480 loss: 1.931
Epoch: 1, Iteration:   500 loss: 1.935
Epoch: 1, Iteration:   520 loss: 1.811
Epoch: 1, Iteration:   540 loss: 1.830
Epoch: 1, Iteration:   560 loss: 1.846
Epoch: 1, Iteration:   580 loss: 1.857
Epoch: 1, Iteration:   600 loss: 1.866
Epoch: 1, Iteration:   620 loss: 1.850
Epoch: 1, Iteration:   640 loss: 1.834
Epoch: 1, Iteration:   660 loss: 1.830
Epoch: 1, Iteration:   680 loss: 1.879
Epoch: 1, Iteration:   700 loss: 1.841
Epoch: 1, Iteration:   720 loss: 1.811
Epoch: 1, Iteration:   740 loss: 1.781
Epoch: 1, Iteration:   760 loss: 1.831
Epoch: 1, Iteration:   780 loss: 1.974
Loss: 1.810
Accuracy of the network on the 10000 test images: 29 %
Accuracy of plane :  1 %
Accuracy of   car : 78 %
Accuracy of  bird :  0 %
Accuracy of   cat : 34 %
Accuracy of  deer : 20 %
Accuracy of   dog : 37 %
Accuracy of  frog : 28 %
Accuracy of horse : 64 %
Accuracy of  ship : 25 %
Accuracy of truck : 16 %
Epoch: 2, Iteration:     0 loss: 0.096
Epoch: 2, Iteration:    20 loss: 1.823
Epoch: 2, Iteration:    40 loss: 1.829
Epoch: 2, Iteration:    60 loss: 1.773
Epoch: 2, Iteration:    80 loss: 1.772
Epoch: 2, Iteration:   100 loss: 1.797
Epoch: 2, Iteration:   120 loss: 1.843
Epoch: 2, Iteration:   140 loss: 1.791
Epoch: 2, Iteration:   160 loss: 1.811
Epoch: 2, Iteration:   180 loss: 1.806
Epoch: 2, Iteration:   200 loss: 1.851
Epoch: 2, Iteration:   220 loss: 1.935
Epoch: 2, Iteration:   240 loss: 1.929
Epoch: 2, Iteration:   260 loss: 1.894
Epoch: 2, Iteration:   280 loss: 1.816
Epoch: 2, Iteration:   300 loss: 1.898
Epoch: 2, Iteration:   320 loss: 1.915
Epoch: 2, Iteration:   340 loss: 1.815
Epoch: 2, Iteration:   360 loss: 1.843
Epoch: 2, Iteration:   380 loss: 1.839
Epoch: 2, Iteration:   400 loss: 1.697
Epoch: 2, Iteration:   420 loss: 1.720
Epoch: 2, Iteration:   440 loss: 1.679
Epoch: 2, Iteration:   460 loss: 1.719
Epoch: 2, Iteration:   480 loss: 1.679
Epoch: 2, Iteration:   500 loss: 1.612
Epoch: 2, Iteration:   520 loss: 1.672
Epoch: 2, Iteration:   540 loss: 1.628
Epoch: 2, Iteration:   560 loss: 1.637
Epoch: 2, Iteration:   580 loss: 1.675
Epoch: 2, Iteration:   600 loss: 1.773
Epoch: 2, Iteration:   620 loss: 1.754
Epoch: 2, Iteration:   640 loss: 1.664
Epoch: 2, Iteration:   660 loss: 1.656
Epoch: 2, Iteration:   680 loss: 1.677
Epoch: 2, Iteration:   700 loss: 1.656
Epoch: 2, Iteration:   720 loss: 1.708
Epoch: 2, Iteration:   740 loss: 1.686
Epoch: 2, Iteration:   760 loss: 1.656
Epoch: 2, Iteration:   780 loss: 1.691
Loss: 1.668
Accuracy of the network on the 10000 test images: 38 %
Accuracy of plane : 53 %
Accuracy of   car : 52 %
Accuracy of  bird : 12 %
Accuracy of   cat :  9 %
Accuracy of  deer :  7 %
Accuracy of   dog : 67 %
Accuracy of  frog : 10 %
Accuracy of horse : 56 %
Accuracy of  ship : 63 %
Accuracy of truck : 56 %
Epoch: 3, Iteration:     0 loss: 0.074
Epoch: 3, Iteration:    20 loss: 1.717
Epoch: 3, Iteration:    40 loss: 1.806
Epoch: 3, Iteration:    60 loss: 1.762
Epoch: 3, Iteration:    80 loss: 1.798
Epoch: 3, Iteration:   100 loss: 1.782
Epoch: 3, Iteration:   120 loss: 1.871
Epoch: 3, Iteration:   140 loss: 1.878
Epoch: 3, Iteration:   160 loss: 1.674
Epoch: 3, Iteration:   180 loss: 1.587
Epoch: 3, Iteration:   200 loss: 1.631
Epoch: 3, Iteration:   220 loss: 1.682
Epoch: 3, Iteration:   240 loss: 1.673
Epoch: 3, Iteration:   260 loss: 1.676
Epoch: 3, Iteration:   280 loss: 1.550
Epoch: 3, Iteration:   300 loss: 1.523
Epoch: 3, Iteration:   320 loss: 1.669
Epoch: 3, Iteration:   340 loss: 1.568
Epoch: 3, Iteration:   360 loss: 1.510
Epoch: 3, Iteration:   380 loss: 1.510
Epoch: 3, Iteration:   400 loss: 1.625
Epoch: 3, Iteration:   420 loss: 1.632
Epoch: 3, Iteration:   440 loss: 1.573
Epoch: 3, Iteration:   460 loss: 1.550
Epoch: 3, Iteration:   480 loss: 1.491
Epoch: 3, Iteration:   500 loss: 1.478
Epoch: 3, Iteration:   520 loss: 1.505
Epoch: 3, Iteration:   540 loss: 1.490
Epoch: 3, Iteration:   560 loss: 1.453
Epoch: 3, Iteration:   580 loss: 1.557
Epoch: 3, Iteration:   600 loss: 1.544
Epoch: 3, Iteration:   620 loss: 1.546
Epoch: 3, Iteration:   640 loss: 1.548
Epoch: 3, Iteration:   660 loss: 1.517
Epoch: 3, Iteration:   680 loss: 1.571
Epoch: 3, Iteration:   700 loss: 1.527
Epoch: 3, Iteration:   720 loss: 1.594
Epoch: 3, Iteration:   740 loss: 1.606
Epoch: 3, Iteration:   760 loss: 1.576
Epoch: 3, Iteration:   780 loss: 1.711
Loss: 1.696
Accuracy of the network on the 10000 test images: 38 %
Accuracy of plane : 25 %
Accuracy of   car : 90 %
Accuracy of  bird : 40 %
Accuracy of   cat : 71 %
Accuracy of  deer :  1 %
Accuracy of   dog : 44 %
Accuracy of  frog :  0 %
Accuracy of horse :  7 %
Accuracy of  ship : 63 %
Accuracy of truck : 34 %
Epoch: 4, Iteration:     0 loss: 0.080
Epoch: 4, Iteration:    20 loss: 1.616
Epoch: 4, Iteration:    40 loss: 1.483
Epoch: 4, Iteration:    60 loss: 1.451
Epoch: 4, Iteration:    80 loss: 1.427
Epoch: 4, Iteration:   100 loss: 1.417
Epoch: 4, Iteration:   120 loss: 1.487
