Files already downloaded and verified
Files already downloaded and verified
Epoch: 0, Iteration:     0 loss: 0.115
Epoch: 0, Iteration:    20 loss: 2.304
Epoch: 0, Iteration:    40 loss: 2.303
Epoch: 0, Iteration:    60 loss: 2.301
Epoch: 0, Iteration:    80 loss: 2.299
Epoch: 0, Iteration:   100 loss: 2.299
Epoch: 0, Iteration:   120 loss: 2.294
Epoch: 0, Iteration:   140 loss: 2.283
Epoch: 0, Iteration:   160 loss: 2.239
Epoch: 0, Iteration:   180 loss: 2.194
Epoch: 0, Iteration:   200 loss: 2.142
Epoch: 0, Iteration:   220 loss: 2.366
Epoch: 0, Iteration:   240 loss: 2.229
Epoch: 0, Iteration:   260 loss: 2.246
Epoch: 0, Iteration:   280 loss: 2.170
Epoch: 0, Iteration:   300 loss: 2.203
Epoch: 0, Iteration:   320 loss: 2.281
Epoch: 0, Iteration:   340 loss: 2.212
Epoch: 0, Iteration:   360 loss: 2.175
Epoch: 0, Iteration:   380 loss: 2.098
Epoch: 0, Iteration:   400 loss: 2.091
Epoch: 0, Iteration:   420 loss: 2.213
Epoch: 0, Iteration:   440 loss: 2.075
Epoch: 0, Iteration:   460 loss: 2.148
Epoch: 0, Iteration:   480 loss: 2.233
Epoch: 0, Iteration:   500 loss: 2.233
Epoch: 0, Iteration:   520 loss: 2.212
Epoch: 0, Iteration:   540 loss: 2.104
Epoch: 0, Iteration:   560 loss: 2.108
Epoch: 0, Iteration:   580 loss: 2.184
Epoch: 0, Iteration:   600 loss: 2.118
Epoch: 0, Iteration:   620 loss: 2.084
Epoch: 0, Iteration:   640 loss: 2.219
Epoch: 0, Iteration:   660 loss: 2.200
Epoch: 0, Iteration:   680 loss: 2.222
Epoch: 0, Iteration:   700 loss: 2.132
Epoch: 0, Iteration:   720 loss: 2.087
Epoch: 0, Iteration:   740 loss: 2.138
Epoch: 0, Iteration:   760 loss: 2.112
Epoch: 0, Iteration:   780 loss: 2.141
Loss: 2.116
Accuracy of the network on the 10000 test images: 17 %
Accuracy of plane :  0 %
Accuracy of   car :  6 %
Accuracy of  bird :  0 %
Accuracy of   cat :  0 %
Accuracy of  deer :  0 %
Accuracy of   dog : 10 %
Accuracy of  frog : 91 %
Accuracy of horse :  0 %
Accuracy of  ship :  3 %
Accuracy of truck : 64 %
Epoch: 1, Iteration:     0 loss: 0.109
Epoch: 1, Iteration:    20 loss: 2.104
Epoch: 1, Iteration:    40 loss: 2.083
Epoch: 1, Iteration:    60 loss: 2.129
Epoch: 1, Iteration:    80 loss: 2.212
Epoch: 1, Iteration:   100 loss: 2.158
Epoch: 1, Iteration:   120 loss: 2.108
Epoch: 1, Iteration:   140 loss: 2.008
Epoch: 1, Iteration:   160 loss: 2.147
Epoch: 1, Iteration:   180 loss: 2.072
Epoch: 1, Iteration:   200 loss: 2.090
Epoch: 1, Iteration:   220 loss: 2.133
Epoch: 1, Iteration:   240 loss: 2.017
Epoch: 1, Iteration:   260 loss: 2.066
Epoch: 1, Iteration:   280 loss: 1.982
Epoch: 1, Iteration:   300 loss: 1.979
Epoch: 1, Iteration:   320 loss: 1.934
Epoch: 1, Iteration:   340 loss: 2.008
Epoch: 1, Iteration:   360 loss: 1.981
Epoch: 1, Iteration:   380 loss: 2.028
Epoch: 1, Iteration:   400 loss: 2.124
Epoch: 1, Iteration:   420 loss: 2.052
Epoch: 1, Iteration:   440 loss: 1.968
Epoch: 1, Iteration:   460 loss: 1.915
Epoch: 1, Iteration:   480 loss: 1.939
Epoch: 1, Iteration:   500 loss: 1.970
Epoch: 1, Iteration:   520 loss: 1.885
Epoch: 1, Iteration:   540 loss: 1.936
Epoch: 1, Iteration:   560 loss: 2.000
Epoch: 1, Iteration:   580 loss: 2.010
Epoch: 1, Iteration:   600 loss: 1.999
Epoch: 1, Iteration:   620 loss: 1.950
Epoch: 1, Iteration:   640 loss: 1.962
Epoch: 1, Iteration:   660 loss: 1.985
Epoch: 1, Iteration:   680 loss: 1.947
Epoch: 1, Iteration:   700 loss: 1.884
Epoch: 1, Iteration:   720 loss: 1.917
Epoch: 1, Iteration:   740 loss: 1.908
Epoch: 1, Iteration:   760 loss: 1.973
Epoch: 1, Iteration:   780 loss: 1.980
Loss: 1.997
Accuracy of the network on the 10000 test images: 24 %
Accuracy of plane : 67 %
Accuracy of   car :  4 %
Accuracy of  bird :  0 %
Accuracy of   cat : 10 %
Accuracy of  deer :  0 %
Accuracy of   dog : 49 %
Accuracy of  frog : 21 %
Accuracy of horse :  3 %
Accuracy of  ship :  5 %
Accuracy of truck : 79 %
Epoch: 2, Iteration:     0 loss: 0.106
Epoch: 2, Iteration:    20 loss: 1.896
Epoch: 2, Iteration:    40 loss: 1.923
Epoch: 2, Iteration:    60 loss: 1.994
Epoch: 2, Iteration:    80 loss: 1.900
Epoch: 2, Iteration:   100 loss: 1.940
Epoch: 2, Iteration:   120 loss: 1.868
Epoch: 2, Iteration:   140 loss: 1.841
Epoch: 2, Iteration:   160 loss: 1.764
Epoch: 2, Iteration:   180 loss: 1.757
Epoch: 2, Iteration:   200 loss: 1.772
Epoch: 2, Iteration:   220 loss: 1.761
Epoch: 2, Iteration:   240 loss: 1.843
Epoch: 2, Iteration:   260 loss: 1.805
Epoch: 2, Iteration:   280 loss: 1.779
Epoch: 2, Iteration:   300 loss: 1.777
Epoch: 2, Iteration:   320 loss: 1.832
Epoch: 2, Iteration:   340 loss: 1.832
Epoch: 2, Iteration:   360 loss: 1.824
Epoch: 2, Iteration:   380 loss: 1.817
Epoch: 2, Iteration:   400 loss: 1.784
Epoch: 2, Iteration:   420 loss: 1.743
Epoch: 2, Iteration:   440 loss: 1.766
Epoch: 2, Iteration:   460 loss: 1.749
Epoch: 2, Iteration:   480 loss: 1.671
Epoch: 2, Iteration:   500 loss: 1.757
Epoch: 2, Iteration:   520 loss: 1.776
Epoch: 2, Iteration:   540 loss: 1.702
Epoch: 2, Iteration:   560 loss: 1.707
Epoch: 2, Iteration:   580 loss: 1.731
Epoch: 2, Iteration:   600 loss: 1.751
Epoch: 2, Iteration:   620 loss: 1.738
Epoch: 2, Iteration:   640 loss: 1.661
Epoch: 2, Iteration:   660 loss: 1.719
Epoch: 2, Iteration:   680 loss: 1.720
Epoch: 2, Iteration:   700 loss: 1.610
Epoch: 2, Iteration:   720 loss: 1.627
Epoch: 2, Iteration:   740 loss: 1.803
Epoch: 2, Iteration:   760 loss: 1.773
Epoch: 2, Iteration:   780 loss: 1.774
Loss: 1.720
Accuracy of the network on the 10000 test images: 34 %
Accuracy of plane : 19 %
Accuracy of   car : 54 %
Accuracy of  bird :  2 %
Accuracy of   cat : 41 %
Accuracy of  deer : 10 %
Accuracy of   dog :  5 %
Accuracy of  frog : 55 %
Accuracy of horse : 64 %
Accuracy of  ship : 24 %
Accuracy of truck : 64 %
Epoch: 3, Iteration:     0 loss: 0.084
Epoch: 3, Iteration:    20 loss: 1.600
Epoch: 3, Iteration:    40 loss: 1.637
Epoch: 3, Iteration:    60 loss: 1.682
Epoch: 3, Iteration:    80 loss: 1.745
Epoch: 3, Iteration:   100 loss: 1.593
Epoch: 3, Iteration:   120 loss: 1.622
Epoch: 3, Iteration:   140 loss: 1.672
Epoch: 3, Iteration:   160 loss: 1.650
Epoch: 3, Iteration:   180 loss: 1.629
Epoch: 3, Iteration:   200 loss: 1.625
Epoch: 3, Iteration:   220 loss: 1.635
Epoch: 3, Iteration:   240 loss: 1.593
Epoch: 3, Iteration:   260 loss: 1.611
Epoch: 3, Iteration:   280 loss: 1.709
Epoch: 3, Iteration:   300 loss: 1.632
Epoch: 3, Iteration:   320 loss: 1.644
Epoch: 3, Iteration:   340 loss: 1.618
Epoch: 3, Iteration:   360 loss: 1.637
Epoch: 3, Iteration:   380 loss: 1.709
Epoch: 3, Iteration:   400 loss: 1.599
Epoch: 3, Iteration:   420 loss: 1.533
Epoch: 3, Iteration:   440 loss: 1.601
Epoch: 3, Iteration:   460 loss: 1.642
Epoch: 3, Iteration:   480 loss: 1.597
Epoch: 3, Iteration:   500 loss: 1.598
Epoch: 3, Iteration:   520 loss: 1.598
Epoch: 3, Iteration:   540 loss: 1.595
Epoch: 3, Iteration:   560 loss: 1.590
Epoch: 3, Iteration:   580 loss: 1.571
Epoch: 3, Iteration:   600 loss: 1.491
Epoch: 3, Iteration:   620 loss: 1.575
Epoch: 3, Iteration:   640 loss: 1.601
Epoch: 3, Iteration:   660 loss: 1.589
Epoch: 3, Iteration:   680 loss: 1.533
Epoch: 3, Iteration:   700 loss: 1.534
Epoch: 3, Iteration:   720 loss: 1.472
Epoch: 3, Iteration:   740 loss: 1.535
Epoch: 3, Iteration:   760 loss: 1.522
Epoch: 3, Iteration:   780 loss: 1.483
Loss: 1.460
Accuracy of the network on the 10000 test images: 45 %
Accuracy of plane : 44 %
Accuracy of   car : 82 %
Accuracy of  bird : 17 %
Accuracy of   cat : 41 %
Accuracy of  deer : 50 %
Accuracy of   dog : 30 %
Accuracy of  frog : 62 %
Accuracy of horse : 48 %
Accuracy of  ship : 74 %
Accuracy of truck : 25 %
Epoch: 4, Iteration:     0 loss: 0.066
Epoch: 4, Iteration:    20 loss: 1.497
Epoch: 4, Iteration:    40 loss: 1.466
Epoch: 4, Iteration:    60 loss: 1.523
Epoch: 4, Iteration:    80 loss: 1.468
Epoch: 4, Iteration:   100 loss: 1.513
Epoch: 4, Iteration:   120 loss: 1.502
