Files already downloaded and verified
Files already downloaded and verified
Epoch: 0, Iteration:     0 loss: 0.115
Epoch: 0, Iteration:    20 loss: 2.304
Epoch: 0, Iteration:    40 loss: 2.302
Epoch: 0, Iteration:    60 loss: 2.301
Epoch: 0, Iteration:    80 loss: 2.300
Epoch: 0, Iteration:   100 loss: 2.299
Epoch: 0, Iteration:   120 loss: 2.295
Epoch: 0, Iteration:   140 loss: 2.280
Epoch: 0, Iteration:   160 loss: 2.247
Epoch: 0, Iteration:   180 loss: 2.215
Epoch: 0, Iteration:   200 loss: 2.153
Epoch: 0, Iteration:   220 loss: 2.381
Epoch: 0, Iteration:   240 loss: 2.211
Epoch: 0, Iteration:   260 loss: 2.252
Epoch: 0, Iteration:   280 loss: 2.195
Epoch: 0, Iteration:   300 loss: 2.213
Epoch: 0, Iteration:   320 loss: 2.289
Epoch: 0, Iteration:   340 loss: 2.205
Epoch: 0, Iteration:   360 loss: 2.143
Epoch: 0, Iteration:   380 loss: 2.144
Epoch: 0, Iteration:   400 loss: 2.156
Epoch: 0, Iteration:   420 loss: 2.204
Epoch: 0, Iteration:   440 loss: 2.109
Epoch: 0, Iteration:   460 loss: 2.167
Epoch: 0, Iteration:   480 loss: 2.182
Epoch: 0, Iteration:   500 loss: 2.232
Epoch: 0, Iteration:   520 loss: 2.229
Epoch: 0, Iteration:   540 loss: 2.115
Epoch: 0, Iteration:   560 loss: 2.088
Epoch: 0, Iteration:   580 loss: 2.175
Epoch: 0, Iteration:   600 loss: 2.082
Epoch: 0, Iteration:   620 loss: 2.139
Epoch: 0, Iteration:   640 loss: 2.150
Epoch: 0, Iteration:   660 loss: 2.159
Epoch: 0, Iteration:   680 loss: 2.285
Epoch: 0, Iteration:   700 loss: 2.117
Epoch: 0, Iteration:   720 loss: 2.118
Epoch: 0, Iteration:   740 loss: 2.108
Epoch: 0, Iteration:   760 loss: 2.101
Epoch: 0, Iteration:   780 loss: 2.156
Loss: 2.055
Accuracy of the network on the 10000 test images: 18 %
Accuracy of plane :  0 %
Accuracy of   car : 10 %
Accuracy of  bird :  0 %
Accuracy of   cat :  0 %
Accuracy of  deer :  0 %
Accuracy of   dog : 72 %
Accuracy of  frog : 12 %
Accuracy of horse :  0 %
Accuracy of  ship : 18 %
Accuracy of truck : 65 %
Epoch: 1, Iteration:     0 loss: 0.101
Epoch: 1, Iteration:    20 loss: 2.084
Epoch: 1, Iteration:    40 loss: 2.138
Epoch: 1, Iteration:    60 loss: 2.128
Epoch: 1, Iteration:    80 loss: 2.136
Epoch: 1, Iteration:   100 loss: 2.144
Epoch: 1, Iteration:   120 loss: 2.131
Epoch: 1, Iteration:   140 loss: 2.060
Epoch: 1, Iteration:   160 loss: 2.132
Epoch: 1, Iteration:   180 loss: 2.061
Epoch: 1, Iteration:   200 loss: 2.060
Epoch: 1, Iteration:   220 loss: 2.158
Epoch: 1, Iteration:   240 loss: 2.038
Epoch: 1, Iteration:   260 loss: 2.017
Epoch: 1, Iteration:   280 loss: 2.001
Epoch: 1, Iteration:   300 loss: 1.929
Epoch: 1, Iteration:   320 loss: 1.931
Epoch: 1, Iteration:   340 loss: 1.970
Epoch: 1, Iteration:   360 loss: 2.001
Epoch: 1, Iteration:   380 loss: 2.050
Epoch: 1, Iteration:   400 loss: 2.092
Epoch: 1, Iteration:   420 loss: 2.035
Epoch: 1, Iteration:   440 loss: 1.915
Epoch: 1, Iteration:   460 loss: 1.946
Epoch: 1, Iteration:   480 loss: 1.943
Epoch: 1, Iteration:   500 loss: 1.959
Epoch: 1, Iteration:   520 loss: 1.891
Epoch: 1, Iteration:   540 loss: 1.988
Epoch: 1, Iteration:   560 loss: 2.016
Epoch: 1, Iteration:   580 loss: 1.991
Epoch: 1, Iteration:   600 loss: 2.009
Epoch: 1, Iteration:   620 loss: 1.965
Epoch: 1, Iteration:   640 loss: 1.979
Epoch: 1, Iteration:   660 loss: 1.958
Epoch: 1, Iteration:   680 loss: 1.936
Epoch: 1, Iteration:   700 loss: 1.862
Epoch: 1, Iteration:   720 loss: 1.863
Epoch: 1, Iteration:   740 loss: 1.914
Epoch: 1, Iteration:   760 loss: 1.960
Epoch: 1, Iteration:   780 loss: 1.991
Loss: 1.898
Accuracy of the network on the 10000 test images: 28 %
Accuracy of plane : 46 %
Accuracy of   car : 42 %
Accuracy of  bird :  0 %
Accuracy of   cat :  6 %
Accuracy of  deer :  0 %
Accuracy of   dog : 72 %
Accuracy of  frog :  5 %
Accuracy of horse : 17 %
Accuracy of  ship : 39 %
Accuracy of truck : 64 %
Epoch: 2, Iteration:     0 loss: 0.092
Epoch: 2, Iteration:    20 loss: 1.889
Epoch: 2, Iteration:    40 loss: 1.899
Epoch: 2, Iteration:    60 loss: 1.912
Epoch: 2, Iteration:    80 loss: 1.937
Epoch: 2, Iteration:   100 loss: 1.920
Epoch: 2, Iteration:   120 loss: 1.835
Epoch: 2, Iteration:   140 loss: 1.834
Epoch: 2, Iteration:   160 loss: 1.769
Epoch: 2, Iteration:   180 loss: 1.762
Epoch: 2, Iteration:   200 loss: 1.747
Epoch: 2, Iteration:   220 loss: 1.842
Epoch: 2, Iteration:   240 loss: 1.853
Epoch: 2, Iteration:   260 loss: 1.743
Epoch: 2, Iteration:   280 loss: 1.724
Epoch: 2, Iteration:   300 loss: 1.775
Epoch: 2, Iteration:   320 loss: 1.750
Epoch: 2, Iteration:   340 loss: 1.856
Epoch: 2, Iteration:   360 loss: 1.863
Epoch: 2, Iteration:   380 loss: 1.782
Epoch: 2, Iteration:   400 loss: 1.757
Epoch: 2, Iteration:   420 loss: 1.825
Epoch: 2, Iteration:   440 loss: 1.734
Epoch: 2, Iteration:   460 loss: 1.791
Epoch: 2, Iteration:   480 loss: 1.741
Epoch: 2, Iteration:   500 loss: 1.711
Epoch: 2, Iteration:   520 loss: 1.750
Epoch: 2, Iteration:   540 loss: 1.718
Epoch: 2, Iteration:   560 loss: 1.722
Epoch: 2, Iteration:   580 loss: 1.785
Epoch: 2, Iteration:   600 loss: 1.816
Epoch: 2, Iteration:   620 loss: 1.706
Epoch: 2, Iteration:   640 loss: 1.714
Epoch: 2, Iteration:   660 loss: 1.682
Epoch: 2, Iteration:   680 loss: 1.629
Epoch: 2, Iteration:   700 loss: 1.565
Epoch: 2, Iteration:   720 loss: 1.643
Epoch: 2, Iteration:   740 loss: 1.743
Epoch: 2, Iteration:   760 loss: 1.820
Epoch: 2, Iteration:   780 loss: 1.736
Loss: 1.641
Accuracy of the network on the 10000 test images: 40 %
Accuracy of plane : 42 %
Accuracy of   car : 36 %
Accuracy of  bird :  6 %
Accuracy of   cat : 46 %
Accuracy of  deer :  0 %
Accuracy of   dog : 30 %
Accuracy of  frog : 76 %
Accuracy of horse : 53 %
Accuracy of  ship : 51 %
Accuracy of truck : 60 %
Epoch: 3, Iteration:     0 loss: 0.089
Epoch: 3, Iteration:    20 loss: 1.638
Epoch: 3, Iteration:    40 loss: 1.726
Epoch: 3, Iteration:    60 loss: 1.678
Epoch: 3, Iteration:    80 loss: 1.633
Epoch: 3, Iteration:   100 loss: 1.715
Epoch: 3, Iteration:   120 loss: 1.622
Epoch: 3, Iteration:   140 loss: 1.683
Epoch: 3, Iteration:   160 loss: 1.653
Epoch: 3, Iteration:   180 loss: 1.597
Epoch: 3, Iteration:   200 loss: 1.587
Epoch: 3, Iteration:   220 loss: 1.610
Epoch: 3, Iteration:   240 loss: 1.573
Epoch: 3, Iteration:   260 loss: 1.594
Epoch: 3, Iteration:   280 loss: 1.714
Epoch: 3, Iteration:   300 loss: 1.688
Epoch: 3, Iteration:   320 loss: 1.616
Epoch: 3, Iteration:   340 loss: 1.612
Epoch: 3, Iteration:   360 loss: 1.727
Epoch: 3, Iteration:   380 loss: 1.653
Epoch: 3, Iteration:   400 loss: 1.614
Epoch: 3, Iteration:   420 loss: 1.574
Epoch: 3, Iteration:   440 loss: 1.590
Epoch: 3, Iteration:   460 loss: 1.582
Epoch: 3, Iteration:   480 loss: 1.553
Epoch: 3, Iteration:   500 loss: 1.602
Epoch: 3, Iteration:   520 loss: 1.581
Epoch: 3, Iteration:   540 loss: 1.550
Epoch: 3, Iteration:   560 loss: 1.584
Epoch: 3, Iteration:   580 loss: 1.571
Epoch: 3, Iteration:   600 loss: 1.584
Epoch: 3, Iteration:   620 loss: 1.553
Epoch: 3, Iteration:   640 loss: 1.593
Epoch: 3, Iteration:   660 loss: 1.618
Epoch: 3, Iteration:   680 loss: 1.590
Epoch: 3, Iteration:   700 loss: 1.570
Epoch: 3, Iteration:   720 loss: 1.506
Epoch: 3, Iteration:   740 loss: 1.489
Epoch: 3, Iteration:   760 loss: 1.458
Epoch: 3, Iteration:   780 loss: 1.490
Loss: 1.513
Accuracy of the network on the 10000 test images: 42 %
Accuracy of plane : 39 %
Accuracy of   car : 80 %
Accuracy of  bird : 43 %
Accuracy of   cat : 21 %
Accuracy of  deer : 30 %
Accuracy of   dog : 64 %
Accuracy of  frog : 48 %
Accuracy of horse : 15 %
Accuracy of  ship : 74 %
Accuracy of truck : 23 %
Epoch: 4, Iteration:     0 loss: 0.081
Epoch: 4, Iteration:    20 loss: 1.517
Epoch: 4, Iteration:    40 loss: 1.501
Epoch: 4, Iteration:    60 loss: 1.537
Epoch: 4, Iteration:    80 loss: 1.523
Epoch: 4, Iteration:   100 loss: 1.399
Epoch: 4, Iteration:   120 loss: 1.491
